gene_id,group
ENSG00000260917,downregulated
ENSG00000264462,downregulated
ENSG00000274060,upregulated
ENSG00000275692,upregulated
ENSG00000273937,upregulated
ENSG00000276312,upregulated
ENSG00000278775,upregulated
ENSG00000277671,upregulated
ENSG00000273739,upregulated
ENSG00000276197,upregulated
ENSG00000258441,upregulated
ENSG00000200795,downregulated
ENSG00000279522,upregulated
ENSG00000277437,downregulated
ENSG00000275664,upregulated
ENSG00000275950,upregulated
ENSG00000275708,downregulated
ENSG00000274868,upregulated
ENSG00000277379,upregulated
ENSG00000272004,upregulated
ENSG00000201558,downregulated
ENSG00000276410,downregulated
ENSG00000200997,downregulated
ENSG00000212195,downregulated
ENSG00000168126,upregulated
ENSG00000256274,downregulated
ENSG00000096384,upregulated
ENSG00000233728,upregulated
ENSG00000130508,downregulated
ENSG00000090857,downregulated
ENSG00000132196,upregulated
ENSG00000164081,downregulated
ENSG00000128656,downregulated
ENSG00000140694,downregulated
ENSG00000132950,upregulated
ENSG00000212127,downregulated
ENSG00000197386,downregulated
ENSG00000263335,downregulated
ENSG00000264229,downregulated
ENSG00000275221,downregulated
ENSG00000131652,upregulated
ENSG00000210100,upregulated
ENSG00000228643,upregulated
ENSG00000114853,downregulated
ENSG00000163913,downregulated
ENSG00000113761,downregulated
ENSG00000207501,downregulated
ENSG00000180902,downregulated
ENSG00000135976,downregulated
ENSG00000072682,upregulated
ENSG00000205133,downregulated
ENSG00000249996,upregulated
ENSG00000144152,downregulated
ENSG00000260368,upregulated
ENSG00000259755,downregulated
ENSG00000141959,downregulated
ENSG00000151388,downregulated
ENSG00000137210,downregulated
ENSG00000072864,downregulated
ENSG00000085832,downregulated
ENSG00000156463,downregulated
ENSG00000269967,upregulated
ENSG00000107960,downregulated
ENSG00000063241,downregulated
ENSG00000270757,upregulated
ENSG00000235505,upregulated
ENSG00000214193,downregulated
ENSG00000185989,downregulated
ENSG00000144711,downregulated
ENSG00000149292,downregulated
ENSG00000185278,downregulated
ENSG00000137486,downregulated
ENSG00000109790,downregulated
ENSG00000121060,upregulated
ENSG00000267618,downregulated
ENSG00000150593,downregulated
ENSG00000069493,downregulated
ENSG00000140905,downregulated
ENSG00000151090,downregulated
ENSG00000135919,upregulated
ENSG00000276027,downregulated
ENSG00000198648,downregulated
ENSG00000111554,downregulated
ENSG00000137871,downregulated
ENSG00000106692,downregulated
ENSG00000115073,downregulated
ENSG00000111058,downregulated
ENSG00000269190,downregulated
ENSG00000204588,upregulated
ENSG00000175772,upregulated
ENSG00000112977,downregulated
ENSG00000093183,downregulated
ENSG00000143624,upregulated
ENSG00000103966,downregulated
ENSG00000142655,downregulated
ENSG00000108384,upregulated
ENSG00000111602,downregulated
ENSG00000112419,downregulated
ENSG00000185480,downregulated
ENSG00000250305,upregulated
ENSG00000207389,downregulated
ENSG00000087008,downregulated
ENSG00000021488,upregulated
ENSG00000224316,upregulated
ENSG00000105983,downregulated
ENSG00000179912,downregulated
ENSG00000139197,downregulated
ENSG00000214944,downregulated
ENSG00000225206,downregulated
ENSG00000169129,downregulated
ENSG00000127481,downregulated
ENSG00000181826,downregulated
ENSG00000152763,downregulated
ENSG00000168234,downregulated
ENSG00000215386,downregulated
ENSG00000070413,downregulated
ENSG00000160703,downregulated
ENSG00000153363,downregulated
ENSG00000126653,downregulated
ENSG00000100749,downregulated
ENSG00000101974,downregulated
ENSG00000100319,upregulated
ENSG00000144283,downregulated
ENSG00000106415,downregulated
ENSG00000158062,upregulated
ENSG00000259768,upregulated
ENSG00000215244,downregulated
ENSG00000221963,downregulated
ENSG00000206562,upregulated
ENSG00000108641,downregulated
ENSG00000069956,downregulated
ENSG00000267827,upregulated
ENSG00000161267,downregulated
ENSG00000078098,downregulated
ENSG00000130779,downregulated
ENSG00000099365,downregulated
ENSG00000241288,downregulated
ENSG00000159714,downregulated
ENSG00000214922,upregulated
ENSG00000157483,downregulated
ENSG00000111700,downregulated
ENSG00000185437,upregulated
ENSG00000151917,upregulated
ENSG00000148200,downregulated
ENSG00000085788,downregulated
ENSG00000186280,downregulated
ENSG00000227252,downregulated
ENSG00000164124,downregulated
ENSG00000283088,upregulated
ENSG00000123064,downregulated
ENSG00000095261,downregulated
ENSG00000248698,downregulated
ENSG00000204764,downregulated
ENSG00000107738,upregulated
ENSG00000254757,downregulated
ENSG00000127337,downregulated
ENSG00000143952,downregulated
ENSG00000177200,downregulated
ENSG00000139926,downregulated
ENSG00000171853,downregulated
ENSG00000179818,upregulated
ENSG00000172890,downregulated
ENSG00000165487,downregulated
ENSG00000159445,downregulated
ENSG00000021762,downregulated
ENSG00000100578,downregulated
ENSG00000138190,downregulated
ENSG00000168143,downregulated
ENSG00000240032,upregulated
ENSG00000148090,downregulated
ENSG00000213676,upregulated
ENSG00000106028,upregulated
ENSG00000134317,upregulated
ENSG00000174842,downregulated
ENSG00000165323,downregulated
ENSG00000145730,downregulated
ENSG00000163138,upregulated
ENSG00000168016,downregulated
ENSG00000073711,downregulated
ENSG00000152952,upregulated
ENSG00000115484,upregulated
ENSG00000176715,downregulated
ENSG00000114126,downregulated
ENSG00000146416,downregulated
ENSG00000049167,downregulated
ENSG00000006704,downregulated
ENSG00000144320,downregulated
ENSG00000283179,downregulated
ENSG00000232692,downregulated
ENSG00000171877,downregulated
ENSG00000213160,downregulated
ENSG00000131471,upregulated
ENSG00000163050,downregulated
ENSG00000219626,downregulated
ENSG00000213096,downregulated
ENSG00000178234,downregulated
ENSG00000185305,downregulated
ENSG00000112584,downregulated
ENSG00000112367,downregulated
ENSG00000019485,downregulated
ENSG00000122547,downregulated
ENSG00000131848,downregulated
ENSG00000088756,downregulated
ENSG00000177565,downregulated
ENSG00000186260,downregulated
ENSG00000221818,downregulated
ENSG00000151575,downregulated
ENSG00000135549,upregulated
ENSG00000259345,downregulated
ENSG00000273496,upregulated
ENSG00000178980,upregulated
ENSG00000273340,upregulated
ENSG00000141564,downregulated
ENSG00000179104,upregulated
ENSG00000215421,downregulated
ENSG00000155097,upregulated
ENSG00000185022,upregulated
ENSG00000102743,downregulated
ENSG00000167123,downregulated
ENSG00000179832,downregulated
ENSG00000161647,downregulated
ENSG00000091140,downregulated
ENSG00000278903,upregulated
ENSG00000159720,upregulated
ENSG00000250820,upregulated
ENSG00000102781,downregulated
ENSG00000151065,downregulated
ENSG00000175354,downregulated
ENSG00000127838,downregulated
ENSG00000180998,upregulated
ENSG00000243701,upregulated
ENSG00000111647,downregulated
ENSG00000197872,downregulated
ENSG00000112425,downregulated
ENSG00000100014,downregulated
ENSG00000114670,downregulated
ENSG00000283061,upregulated
ENSG00000233493,upregulated
ENSG00000283160,upregulated
ENSG00000172361,upregulated
ENSG00000251537,upregulated
ENSG00000181135,upregulated
ENSG00000172733,upregulated
ENSG00000231305,upregulated
ENSG00000213901,upregulated
ENSG00000198106,upregulated
ENSG00000186205,upregulated
ENSG00000268975,upregulated
